"movie_rank","movie_name","release_year","release_season","duration","imdb_rate","vote_count","genre1","genre2","genre3","country","language_","box_office","age_group_rate"
125,"Downfall",2004,"autumn","2h 36m",8.2,"393k","war","drama","tragedy","germany","german",92181574,"R"
126,"Dangal",2016,"winter","2h 41m",8.3,"232k","sport","drama","biography","india","hindi",303726694,"Not Rated"
127,"The Wolf of Wall Street",2013,"winter","3h",8.2,"1.7","crime","biography","drama","US","english",407039432,"R"
128,"The Chaos Class Failed the Class",1975,"winter","1h 35m",8.6,"28k","satire","comedy","nothing","turkey","turkish",0,"Not Rated"
129,"Green Book",2018,"autumn","2h 10m",8.2,"652k","musical","biography","drama","US","english",321752656,"PG-13"
130,"Hamilton",2020,"summer","2h 40m",8.3,"132k","musical","drama","biography","US","english",0,"PG-13"
131,"The Truman Show",1998,"summer","1h 43m",8.2,"1.3m","psychological drama","dark comedy","satire","US","english",264118712,"PG"
132,"Taxi Driver",1976,"autumn","1h 54m",8.2,"994k","drama","crime","psychological drama","US","english",28979798,"R"
133,"Batman Begins",2005,"summer","2h 20m",8.2,"1.7","epic","action","superhero","US","english",375545613,"PG-13"
134,"For a Few Dollars More",1965,"winter","2h 12m",8.2,"293k","western","drama","quest","europe","italian",15000770,"R"
135,"Judgment at Nuremberg",1961,"winter","2h 59m",8.3,"93k","war","history","legal drama","US","english",12180,"Approved"
136,"Shutter Island",2010,"winter","2h 18m",8.2,"1.6","psychological thriller","drama","mystry","US","english",294978537,"R"
137,"Some Like It Hot",1959,"spring","2h 1m",8.2,"299k","musical","comedy","romance","US","english",208786,"Approved"
138,"Jurassic Park",1993,"summer","2h 7m",8.2,"1.1m","sci-fi","thriller","adventure","US","english",1104379926,"PG-13"
139,"The Kid",1921,"autumn","1h 8m",8.2,"134k","comedy","drama","family","US","english",46382,"Passed"
140,"The Father",2020,"winter","1h 37m",8.2,"219k","mystry","drama","psychological drama","US","english",24048935,"PG-13"
141,"All About Eve",1950,"autumn","2h 18m",8.2,"146k","drama","showbiz drama","comedy","US","english",156988,"Approved"
142,"There Will Be Blood",2007,"winter","2h 38m",8.2,"682k","psychological drama","drama","tragedy","US","english",76430381,"R"
143,"The Sixth Sense",1999,"summer","1h 47m",8.2,"1.1m","thriller","mystry","drama","US","english",672806432,"PG-13"
144,"Ran",1985,"spring","2h 40m",8.2,"147k","action","war","drama","japan","japanese",4388625,"R"
145,"Casino",1995,"autumn","2h 58m",8.2,"610k","drama","crime","gangster","US","english",116112375,"R"
146,"Top Gun: Maverick",2022,"spring","2h 10m",8.2,"801k","drama","action","epic","US","english",1495696292,"PG-13"
147,"No Country for Old Men",2007,"winter","2h 2m",8.2,"1.1m","psychological drama","drama","crime","US","english",171635011,"R"
148,"The Thing",1982,"autumn","1h 49m",8.2,"507k","sci-fi","horror","mystry","US","english",20847529,"R"
149,"Unforgiven",1992,"autumn","2h 10m",8.2,"459k","western","drama","tragedy","US","english",159167799,"R"
150,"Pan's Labyrinth",2006,"spring","1h 58m",8.2,"731k","drama","fantasy","tragedy","spanish mexican","spanish",83863565,"R"
151,"Kill Bill: Vol. 1",2003,"autumn","1h 51m",8.2,"1.3m","thriller","crime","action","US","english",180908413,"R"
152,"A Beautiful Mind",2001,"winter","2h 15m",8.2,"1m","psychological drama","mystry","biography","US","english",316791257,"PG-13"
153,"Prisoners",2013,"autumn","2h 33m",8.2,"892k","thriller","mystry","drama","US","english",122127446,"R"
154,"The Treasure of the Sierra Madre",1948,"winter","2h 6m",8.2,"139k","western","drama","adventure","US","english",5014124,"Approved"
155,"Yojimbo",1961,"spring","1h 50m",8.2,"140k","drama","thriller","action","japan","japanese",68196,"G"
156,"Finding Nemo",2003,"spring","1h 40m",8.2,"1.2m","animation","comedy","adventure","US","english",941637960,"Not Rated"
157,"Howl's Moving Castle",2004,"autumn","1h 59",8.2,"493k","animation","fantasy","adventure","Japan","japanese",241286592,"PG"
158,"The Best of Youth",2003,"summer","6h 14m",8.4,"26k","romance","drama","epic","italy","italian",2799773,"R"
159,"The Great Escape",1963,"summer","2h 52m",8.2,"272k","war","thriller","drama","US","english",230637,"Approved"
160,"Monty Python and the Holy Grail",1975,"spring","1h 31m",8.2,"593k","fantasy","comedy","adventure","US","english",2934737,"PG"
161,"The Elephant Man",1980,"autumn","2h 4m",8.2,"276k","drama","biography","tragedy","US","english",26034325,"PG"
162,"Klaus",2019,"autumn","1h 36m",8.2,"219k","fantasy","comedy","animation","spanish american","english",0,"PG"
163,"Dial M for Murder",1954,"spring","1h 45m",8.2,"200k","thriller","mystry","drama","US","english",45313,"PG"
164,"Gone with the Wind",1939,"winter","3h 58m",8.2,"350k","war","drama","romance","US","english",402382193,"G"
165,"The Secret in Their Eyes",2009,"winter","2h 9m",8.2,"236k","drama","tragedy","psychological thriller","argentina","spanish",35079650,"R"
166,"Chinatown",1974,"summer","2h 10m",8.1,"369k","thriller","mystry","drama","US","english",29232347,"R"
167,"Lock, Stock and Two Smoking Barrels",1998,"summer","1h 47m",8.1,"640k","crime","comedy","gangster","UK","english",3753929,"R"
168,"V for Vendetta",2005,"winter","2h 12m",8.1,"1.2m","thriller","dystopian","superhero","british american","english",134686457,"R"
169,"Rashomon",1950,"summer","1h 28m",8.1,"192k","mystry","drama","crime","japan","japanese",141708,"Not Rated"
170,"Inside Out",2015,"summer","1h 35m",8.1,"883k","fantasy","comedy","animation","US","english",859076254,"PG"
171,"Three Billboards Outside Ebbing, Missouri",2017,"winter","1h 55m",8.1,"591k","drama","crime","dark comedy","US","english",162729321,"R"
172,"Catch Me If You Can",2002,"winter","2h 21m",8.1,"1.2m","drama","crime","biography","US","english",352114312,"PG-13"
173,"Trainspotting",1996,"winter","1h 33m",8.1,"756k","dark comedy","psychological drama","crime","british scottish","english",16992984,"R"
174,"The Bridge on the River Kwai",1957,"autumn","2h 41m",8.1,"245k","war","drama","adventure","british american","english",27201366,"PG"
175,"Raging Bull",1980,"winter","2h 9m",8.1,"400k","sport","drama","biography","US","english",23406558,"R"
176,"Harry Potter and the Deathly Hallows: Part 2",2011,"summer","2h 10m",8.1,"1m","mystry","fantasy","adventure","british american","english",1342505340,"PG-13"
177,"Fargo",1996,"spring","1h 38m",8.1,"765k","thriller","drama","tragedy","US","english",60611975,"R"
178,"The Wild Robot",2024,"autumn","1h 42m",8.2,"195k","sci-fi","animation","artificial intelligence","US","english",334537187,"PG"
179,"Warrior",2011,"autumn","2h 20m",8.1,"519k","sport","drama","action","US","english",23308615,"PG-13"
180,"Million Dollar Baby",2004,"winter","2h 12m",8.1,"753k","psychological drama","sport","tragedy","US","english",216763646,"PG-13"
181,"Dead Poets Society",1989,"summer","2h 8m",8.1,"609k","drama","comedy","coming of age","US","english",235860116,"PG"
182,"Gran Torino",2008,"winter","1h 56m",8.1,"847k","drama","psychological drama","dark comedy","US","english",269958228,"R"
183,"Ben-Hur",1959,"autumn","3h 22m",8.1,"266k","drama","epic","adventure","US","english",74442231,"G"
184,"Mad Max: Fury Road",2015,"spring","2h",8.1,"1.2m","dystopian","epic","adventure","US","english",380456026,"R"
185,"Barry Lyndon",1975,"autumn","3h 5m",8.1,"197k","tragedy","psychological drama","adventure","ireland","english",565358,"PG"
186,"My Neighbor Totoro",1988,"spring","1h 26m",8.1,"416k","fantasy","animation","comedy","japan","japanese",30562762,"G"
187,"Children of Heaven",1977,"winter","1h 29m",8.2,"87k","family","sport","drama","iran","english",933933,"PG"
188,"Hacksaw Ridge",2016,"autumn","2h 19m",8.1,"651k","war","drama","biography","US","english",180563636,"R"
189,"The Grand Budapest Hotel",2014,"winter","1h 39m",8.1,"940k","drama","comedy","quirky comedy","german american","english",174567384,"R"
190,"12 Years a Slave",2013,"winter","2h 14m",8.1,"771k","psychological drama","tragedy","epic","US","english",187734091,"R"
191,"Before Sunrise",1995,"winter","1h 41m",8.1,"365k","romance","drama","comedy","US","english",6573474,"R"
192,"Spider-Man: No Way Home",2021,"winter","2h 28m",8.2,"975k","superhero","sci-fi","action","US","english",1921426073,"PG-13"
193,"Blade Runner",1982,"summer","1h 57m",8.1,"863k","thriller","sci-fi","dystopian","US","english",41768494,"R"
194,"Memories of Murder",2003,"spring","2h 12m",8.1,"250k","thriller","psychological drama","mystry","south korea","korean",1210763,"Not Rated"
195,"Gone Girl",2014,"autumn","2h 29m",8.1,"1.1m","thriller","mystry","drama","US","english",370890259,"R"
196,"Ratatouille",2007,"summer","1h 51m",8.1,"904k","animation","comedy","fantasy","US","english",623738973,"G"
197,"How to Train Your Dragon",2010,"spring","1h 38m",8.1,"865k","animation","adventure","fantasy","US","english",494879860,"PG"
198,"Monsters, Inc.",2001,"autumn","1h 32m",8.1,"1m","animation","comedy","adventure","US","english",579771043,"G"
199,"Jaws",1975,"summer","2h 4m",8.1,"714k","thriller","horror","monster horror","US","english",489033660,"PG"
200,"In the Name of the Father",1993,"autumn","2h 13m",8.1,"198k","drama","crime","biography","irish british","english",65796862,"R"
201,"Wild Tales",2014,"summer","2h 2m",8.1,"232k","thriller","drama","dark comedy","spain","spanish",31478893,"R"
202,"The Gold Rush",1925,"summer","1h 35m",8.1,"126k","romance","drama","comedy","US","english",82065,"Approved"
203,"Ford v Ferrari",2019,"autumn","2h 32m",8.1,"541k","sport","drama","biography","US","english",226299480,"PG-13"
204,"Sherlock Jr.",1924,"spring","45m",8.1,"63k","romantic comedy","action","romance","US","english",399,"Passed"
205,"Mary and Max",2009,"spring","1h 32m",8.1,"198k","animation","dark comedy","drama","australia","english",1740791,"Not Rated"
206,"The Deer Hunter",1978,"winter","3h 3m",8.1,"379k","war","drama","epic","US","english",49080312,"R"
207,"The Wages of Fear",1953,"spring","2h 36m",8.1,"72k","psychological drama","thriller","adventure","US","english",22326,"Not Rated"
208,"The General",1926,"winter","1h 18m",8.1,"104k","war","drama","comedy","US","english",1388,"Passed"
209,"Mr. Smith Goes to Washington",1939,"autumn","2h 9m",8.1,"127k","political drama","comedy","drama","US","english",146123,"Approved"
210,"On the Waterfront",1954,"summer","1h 48m",8.1,"174k","thriller","drama","crime","US","english",3768,"Approved"
211,"Logan",2017,"winter","2h 17m",8.1,"902k","sci-fi","thriller","drama","US","english",619180476,"R"
212,"Rocky",1976,"autumn","2h",8.1,"670k","sport","drama","sport","US","english",117253345,"PG"
213,"Wild Strawberries",1957,"winter","1h 32m",8.1,"122k","romance","drama","psychological drama","sweden","swedish",81070,"Not Rated"
214,"Tokyo Story",1953,"autumn","2h 17m",8.1,"75k","drama","psychological drama","drama","japan","japanese",93881,"Not Rated"
215,"The Third Man",1949,"autumn","1h 44m",8.1,"192k","thriller","mystry","drama","US","english",1423967,"Approved"
216,"Spotlight",2015,"autumn","2h 9m",8.1,"524k","drama","biography","crime","US","english",98690254,"R"
217,"Maharaja",2024,"summer","2h 21m",8.4,"74k","thriller","drama","crime","india","hindi",975543,"Not Rated"
218,"Pirates of the Caribbean: The Curse of the Black Pearl",2003,"summer","2h 23m",8.1,"1.3m","action","adventure","fantasy","US","english",654264546,"PG-13"
219,"The Terminator",1984,"autumn","1h 47m",8.1,"977k","sci-fi","action","dystopian","US","english",78371200,"R"
220,"The Big Lebowski",1998,"winter","1h 57m",8.1,"899k","crime","comedy","satire","US","english",48261691,"R"
221,"La haine",1995,"spring","1h 38m",8.1,"216k","crime","drama","psychological drama","france","french",762618,"Not Rated"
222,"Jai Bhim",2021,"autumn","2h 44m",8.6,"229k","drama","crime","legal drama","india","hindi",0,"Approved"
223,"The Seventh Seal",1957,"winter","1h 36m",8.1,"211k","psychological drama","drama","fantasy","sweden","swedish",312104,"Not Rated"
224,"Room",2015,"autumn","1h 58m",8.1,"472k","psychological drama","drama","thriller","US","english",35402766,"R"
225,"Hotel Rwanda",2004,"winter","2h 1m",8.1,"387k","war","drama","biography","US","english",33882243,"PG-13"
226,"Platoon",1986,"winter","2h",8.1,"461k","war","drama","drama","US","english",138546255,"R"
227,"The Best Years of Our Lives",1946,"autumn","2h 50m",8.1,"76k","war","romance","drama","US","english",23667133,"Approved"
228,"Before Sunset",2004,"summer","1h 20m",8.1,"306k","romance","drama","romantic drama","US","english",16506532,"R"
229,"The Sound of Music",1965,"spring","2h 52m",8.1,"218k","romance","musical","biography","US","english",159502880,"G"
230,"The Exorcist",1973,"winter","2h 2m",8.1,"485k","horror","psychological horror","horror","US","english",430872776,"R"
231,"The Incredibles",2004,"autumn","1h 55m",8.0,"871k","animation","adventure","superhero","US","english",631688498,"PG"
232,"Hachi: A Dog's Tale",2009,"summer","1h 33m",8.1,"333k","drama","biography","family","US","english",46749646,"G"
233,"Rush",2013,"autumn","2h 3m",8.1,"544k","sport","drama","biography","US","english",93330442,"R"
234,"The Wizard of Oz",1939,"summer","1h 42m",8.1,"456k","musical","fantasy","quest","US","english",25637669,"G"
235,"A Silent Voice: The Movie",2016,"autumn","2h 10m",8.1,"128k","psychological drama","animation","drama","japan","japanese",30819442,"Not Rated"
236,"The Passion of Joan of Arc",1928,"spring","1h 54m",8.1,"66k","drama","tragedy","biography","france","french",22731,"Passed"
237,"Stand by Me",1986,"summer","1h 29m",8.1,"471k","drama","comedy","adventure","US","english",53525035,"R"
238,"The Iron Giant",1999,"summer","1h 26m",8.1,"250k","sci-fi","animation","action","US","english",23339506,"PG"
239,"My Father and My Son",2005,"autumn","1h 52m",8.2,"99k","drama","political","family","turkey","turkish",18612999,"Not Rated"
240,"The Handmaiden",2016,"spring","2h 25m",8.1,"193k","thriller","romance","drama","south korea","korean",37863670,"Not Rated"
241,"Network",1976,"autumn","2h 1m",8.1,"182k","drama","dark comedy","workplace drama","US","english",23701317,"R"
242,"The Battle of Algiers",1966,"summer","2h 1m",8.1,"73k","war","drama","political drama","italian algerian","french arabic",962002,"Not Rated"
243,"The Grapes of Wrath",1940,"spring","2h 9m",8.1,"106k","period drama","tragedy","drama","US","english",7304,"Approved"
244,"To Be or Not to Be",1942,"winter","1h 39m",8.1,"48k","war","romance","comedy","US","english",0,"Approved"
245,"Into the Wild",2007,"autumn","2h 28m",8.0,"685k","drama","adventure","coming of age","US","english",56676733,"R"
246,"Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train",2020,"autumn","1h 57m",8.2,"89k","superhero","adventure","animation","japan","japanese",486451200,"TV-MA"
247,"The Help",2011,"summer","2h 26m",8.1,"519k","period drama","drama","drama","US","english",221802186,"Not Rated"
248,"Gangs of Wasseypur",2012,"summer","5h 21m",8.2,"110k","thriller","drama","crime","india","hindi",4384642,"PG-13"
249,"Drishyam",2015,"summer","2h 43m",8.2,"104k","mystry","drama","thriller","india","hindi",1800000,"PG"
250,"Groundhog Day",1993,"winter","1h 41m",8.0,"725k","romance","drama","comedy","US","english",71108778,"Not Rated"
